time,open,high,low,close,volume,amount,settelementPrice,openInterest,preClose,suspendFlag
1729215000000,2604.6000000000004,2604.6000000000004,2604.6000000000004,2604.6000000000004,75,58603500.0,0.0,56280,2607.0000000000005,0
1729215060000,2606.2000000000003,2624.0000000000005,2606.2000000000003,2617.8,1125,883684920.0,0.0,55940,2604.6000000000004,0
1729215120000,2617.2000000000003,2620.6000000000004,2615.6000000000004,2616.0000000000005,389,305574120.00000006,0.0,55847,2617.8,0
1729215180000,2615.0,2618.8,2610.4,2611.6,432,338700060.0,0.0,55663,2616.0,0
1729215240000,2611.2000000000003,2615.6000000000004,2610.2000000000003,2613.6000000000004,383,300165180.00000006,0.0,55470,2611.6000000000004,0
1729215300000,2613.6000000000004,2622.0000000000005,2613.6000000000004,2622.0000000000005,318,249760500.00000003,0.0,55323,2613.6000000000004,0
1729215360000,2621.4,2625.0000000000005,2616.2000000000003,2617.2000000000003,414,325586220.00000006,0.0,55192,2622.0000000000005,0
1729215420000,2617.8,2620.6000000000004,2616.6000000000004,2620.4000000000005,298,234143880.0,0.0,55050,2617.2000000000003,0
1729215480000,2620.0,2620.4,2615.0,2615.0,294,230852400.0,0.0,54940,2620.4,0
1729215540000,2614.6000000000004,2615.8,2613.2000000000003,2613.4,224,175663980.0,0.0,54823,2615.0000000000005,0
1729215600000,2613.4,2614.2,2612.0,2612.2,189,148153860.00000003,0.0,54739,2613.4,0
1729215660000,2613.0,2615.4,2612.4,2613.2000000000003,139,109004820.00000001,0.0,54679,2612.2000000000003,0
1729215720000,2613.2000000000003,2614.6000000000004,2611.6000000000004,2611.8,157,123068640.0,0.0,54626,2613.2000000000003,0
1729215780000,2611.8,2618.2000000000003,2610.8,2616.0,243,190664100.0,0.0,54519,2611.8,0
1729215840000,2616.8,2619.6,2616.4,2618.6,310,243499860.0,0.0,54410,2616.0,0
1729215900000,2618.2,2619.2,2614.0,2616.2,186,145995900.00000003,0.0,54357,2618.6,0
1729215960000,2616.2,2617.0,2613.0,2613.6,162,127065719.99999999,0.0,54351,2616.2,0
1729216020000,2613.6,2613.8,2610.0,2610.8,229,179407320.00000003,0.0,54385,2613.6,0
1729216080000,2610.8,2613.8,2610.4,2613.6,141,110482500.00000001,0.0,54392,2610.8,0
1729216140000,2614.0000000000005,2616.4000000000005,2613.6000000000004,2615.8,166,130240140.00000001,0.0,54391,2613.6000000000004,0
1729216200000,2615.4,2617.2,2614.0,2614.0,144,113005320.0,0.0,54376,2615.8,0
1729216260000,2614.0,2616.8,2611.0,2616.8,188,147413220.0,0.0,54372,2614.0,0
1729216320000,2617.0000000000005,2619.6000000000004,2616.6000000000004,2619.4000000000005,236,185390520.0,0.0,54332,2616.8,0
1729216380000,2619.4000000000005,2619.6000000000004,2616.6000000000004,2618.0000000000005,156,122530680.00000001,0.0,54329,2619.4000000000005,0
1729216440000,2618.6,2619.0,2617.0,2618.0,80,62833020.0,0.0,54334,2618.0,0
1729216500000,2618.0,2619.6000000000004,2617.8,2618.2000000000003,116,91135620.00000001,0.0,54332,2618.0,0
1729216560000,2618.6,2618.6,2613.0,2613.0,130,101990580.0,0.0,54337,2618.2,0
