time,open,high,low,close,volume,amount,settelementPrice,openInterest,preClose,suspendFlag
1679016600000,3970.0,3970.0,3970.0,3970.0,152,181032000.0,0.0,58011,3942.8,0
1679016660000,3968.8,3974.0,3967.8,3971.0,2068,2463643440.0,0.0,57316,3970.0,0
1679016720000,3971.6000000000004,3976.0000000000005,3971.2000000000003,3973.2000000000003,970,1156370700.0,0.0,57134,3971.0000000000005,0
1679016780000,3972.6000000000004,3974.8,3972.2000000000003,3973.2000000000003,609,725938680.0000001,0.0,57029,3973.2000000000003,0
1679016840000,3973.4,3975.8,3973.4,3974.0,705,840647220.0,0.0,56792,3973.2000000000003,0
1679016900000,3973.8,3974.6000000000004,3971.8,3973.6000000000004,493,587575200.0,0.0,56717,3974.0,0
1679016960000,3973.6000000000004,3976.0,3972.8,3975.2000000000003,637,759538500.0,0.0,56675,3973.6000000000004,0
1679017020000,3975.2000000000003,3975.2000000000003,3972.6000000000004,3973.0000000000005,400,476859600.0,0.0,56650,3975.2000000000003,0
1679017080000,3973.2000000000003,3974.4,3972.4,3974.4,366,436276200.00000006,0.0,56642,3973.0,0
1679017140000,3973.2000000000003,3973.2000000000003,3970.8,3970.8,346,412286880.0,0.0,56581,3974.4,0
1679017200000,3971.4,3972.2000000000003,3969.8,3969.8,300,357407460.0,0.0,56514,3970.8,0
1679017260000,3970.0,3973.4,3970.0,3972.8,439,523118400.0000001,0.0,56428,3969.8,0
1679017320000,3972.2000000000003,3973.4,3971.2000000000003,3972.0000000000005,330,393254880.0,0.0,56391,3972.8,0
1679017380000,3972.2,3973.8,3971.0,3973.8,411,489869520.0,0.0,56350,3972.0,0
1679017440000,3974.0,3975.0,3973.4,3974.0,471,561592980.0000001,0.0,56353,3973.8,0
1679017500000,3974.2,3978.0,3974.0,3977.2,520,620382960.0,0.0,56179,3974.0,0
1679017560000,3977.2000000000003,3977.8,3974.8,3977.0,467,557107620.0,0.0,56088,3977.2000000000003,0
1679017620000,3976.8,3977.0,3975.0,3975.6,311,370972020.0,0.0,56021,3977.0,0
1679017680000,3975.6,3981.2000000000003,3975.4,3980.8,482,575315580.0,0.0,55850,3975.6,0
1679017740000,3980.8,3982.4,3980.4,3980.8,410,489710280.0,0.0,55767,3980.8,0
1679017800000,3980.4,3982.2000000000003,3979.8,3981.4,523,624611640.0,0.0,55571,3980.8,0
1679017860000,3981.6000000000004,3983.4,3978.8,3979.2000000000003,400,477692760.0,0.0,55491,3981.4,0
1679017920000,3979.8,3981.0000000000005,3978.6000000000004,3980.6000000000004,274,327134460.0,0.0,55426,3979.2000000000003,0
1679017980000,3980.6000000000004,3980.8,3977.2000000000003,3977.2000000000003,343,409475640.00000006,0.0,55438,3980.6000000000004,0
1679018040000,3977.8,3979.6000000000004,3977.2000000000003,3977.8,266,317446080.00000006,0.0,55450,3977.2000000000003,0
1679018100000,3978.0,3978.8,3973.4,3974.2000000000003,493,587954640.0000001,0.0,55456,3977.8,0
1679018160000,3974.2000000000003,3976.0,3972.8,3976.0,376,448317120.0,0.0,55459,3974.2000000000003,0
1679018220000,3975.4,3977.0,3972.4,3974.4,308,367232940.00000006,0.0,55482,3976.0,0
1679018280000,3973.6000000000004,3975.6000000000004,3973.2000000000003,3974.0000000000005,238,283758720.0,0.0,55470,3974.4,0
1679018340000,3974.4,3976.2000000000003,3973.4,3975.2000000000003,396,472168500.0,0.0,55489,3974.0,0
1679018400000,3975.2000000000003,3975.4,3973.8,3975.0,210,250398000.0,0.0,55528,3975.2000000000003,0
1679018460000,3975.4,3979.0,3974.8,3977.0,343,409219740.00000006,0.0,55497,3975.0,0
1679018520000,3976.6000000000004,3978.8,3976.2000000000003,3977.0000000000005,252,300706980.00000006,0.0,55384,3977.0000000000005,0
1679018580000,3977.0000000000005,3979.6000000000004,3976.6000000000004,3977.6000000000004,218,260165820.0,0.0,55386,3977.0000000000005,0
1679018640000,3977.6,3979.8,3976.0,3979.0,232,276891000.00000006,0.0,55408,3977.6,0
1679018700000,3979.8,3984.2000000000003,3979.8,3983.4,634,757534380.0000001,0.0,55290,3979.0,0
1679018760000,3983.4,3984.8,3980.8,3984.4,440,525704160.0,0.0,55263,3983.4,0
1679018820000,3983.8,3985.0,3981.0,3982.8,391,467281080.0,0.0,55194,3984.4,0
1679018880000,3982.2000000000003,3985.4,3981.4,3985.4,305,364518960.0,0.0,55181,3982.8,0
1679018940000,3985.2000000000003,3986.4,3982.2000000000003,3984.2000000000003,331,395637600.0,0.0,55168,3985.4,0
1679019000000,3984.2000000000003,3984.4,3982.2000000000003,3983.0000000000005,251,299936640.0,0.0,55176,3984.2000000000003,0
1679019060000,3983.0000000000005,3985.0000000000005,3982.6000000000004,3984.6000000000004,238,284417700.0,0.0,55247,3983.0000000000005,0
1679019120000,3984.6000000000004,3985.6000000000004,3981.8,3982.6000000000004,213,254566079.0,0.0,55268,3984.6000000000004,0
1679019180000,3982.4,3985.0000000000005,3982.2000000000003,3985.0000000000005,232,277267680.0,0.0,55264,3982.6000000000004,0
1679019240000,3985.2000000000003,3985.4,3981.2000000000003,3981.4,222,265271220.00000003,0.0,55307,3985.0000000000005,0
1679019300000,3981.4,3985.0,3981.0,3981.6,246,293939940.0,0.0,55317,3981.4,0
1679019360000,3981.6000000000004,3983.8,3981.2000000000003,3983.8,189,225791700.00000003,0.0,55319,3981.6000000000004,0
1679019420000,3984.2000000000003,3984.6000000000004,3982.6000000000004,3982.6000000000004,226,270086040.0,0.0,55343,3983.8,0
1679019480000,3982.6,3984.2,3982.0,3983.2,177,211481160.0,0.0,55335,3982.6,0
1679019540000,3983.2000000000003,3985.8,3981.8,3985.2000000000003,252,301199040.00000006,0.0,55373,3983.2000000000003,0
1679019600000,3985.2000000000003,3986.6000000000004,3984.6000000000004,3985.4000000000005,275,328843500.0,0.0,55403,3985.2000000000003,0
1679019660000,3985.8,3987.4,3983.8,3985.8,343,410178780.00000006,0.0,55357,3985.4,0
1679019720000,3985.6,3986.2000000000003,3982.4,3982.8,206,246213240.00000003,0.0,55357,3985.8,0
1679019780000,3983.2000000000003,3985.2000000000003,3982.8,3982.8,147,175681020.0,0.0,55334,3982.8,0
