time,open,high,low,close,volume,amount,settelementPrice,openInterest,preClose,suspendFlag
1718933400000,5050.0,5050.0,5050.0,5050.0,33,33330000.000000004,0.0,73157,5058.8,0
1718933460000,5049.0,5065.0,5048.0,5060.2,1248,1261949240.0000002,0.0,72868,5050.0,0
1718933520000,5059.6,5063.200000000001,5055.400000000001,5057.8,638,645548120.0,0.0,72814,5060.200000000001,0
1718933580000,5056.8,5056.8,5048.400000000001,5051.200000000001,567,572776040.0,0.0,72658,5057.8,0
1718933640000,5050.800000000001,5054.200000000001,5042.200000000001,5043.6,743,750205680.0,0.0,72452,5051.200000000001,0
1718933700000,5044.000000000001,5047.200000000001,5041.400000000001,5043.400000000001,533,537704000.0000001,0.0,72355,5043.6,0
1718933760000,5043.4,5057.0,5043.0,5050.4,507,512184600.0,0.0,72275,5043.4,0
1718933820000,5049.8,5054.400000000001,5049.8,5051.8,362,365778440.00000006,0.0,72258,5050.400000000001,0
1718933880000,5052.0,5058.0,5051.8,5055.400000000001,374,378182080.0,0.0,72282,5051.8,0
1718933940000,5055.800000000001,5057.6,5054.200000000001,5055.6,450,455004560.0,0.0,72388,5055.400000000001,0
1718934000000,5055.6,5057.0,5051.8,5055.8,403,407409080.00000006,0.0,72426,5055.6,0
1718934060000,5056.6,5062.800000000001,5056.200000000001,5062.000000000001,408,412885080.0,0.0,72452,5055.800000000001,0
1718934120000,5062.4,5062.8,5058.0,5060.0,360,364373280.0,0.0,72497,5062.0,0
1718934180000,5060.400000000001,5064.400000000001,5059.400000000001,5061.400000000001,291,294625960.00000006,0.0,72553,5060.000000000001,0
1718934240000,5061.6,5066.6,5061.0,5064.0,285,288607640.0,0.0,72533,5061.4,0
1718934300000,5064.200000000001,5069.6,5063.400000000001,5069.6,282,285708080.00000006,0.0,72510,5064.000000000001,0
1718934360000,5069.6,5078.8,5069.400000000001,5078.000000000001,569,577407720.0,0.0,72424,5069.6,0
1718934420000,5078.0,5083.2,5077.0,5083.2,408,414465760.00000006,0.0,72364,5078.0,0
1718934480000,5083.2,5085.6,5079.0,5081.4,449,456376400.00000006,0.0,72241,5083.2,0
1718934540000,5082.2,5083.2,5079.0,5083.2,231,234764480.0,0.0,72204,5081.4,0
1718934600000,5082.6,5083.8,5080.0,5080.8,246,250029720.0,0.0,72151,5083.2,0
1718934660000,5080.8,5081.8,5076.0,5076.8,435,441840720.0,0.0,72139,5080.8,0
1718934720000,5076.8,5084.0,5076.8,5081.6,272,276389840.00000006,0.0,72156,5076.8,0
1718934780000,5082.200000000001,5084.0,5079.6,5081.200000000001,238,241885360.0,0.0,72198,5081.6,0
1718934840000,5081.400000000001,5083.6,5079.400000000001,5082.200000000001,208,211387800.0,0.0,72274,5081.200000000001,0
1718934900000,5081.6,5083.2,5080.0,5082.6,216,219536880.0,0.0,72312,5082.2,0
1718934960000,5082.8,5088.8,5081.8,5086.6,441,448614920.00000006,0.0,72339,5082.6,0
1718935020000,5085.8,5086.0,5081.6,5082.6,264,268432040.00000003,0.0,72358,5086.6,0
1718935080000,5082.6,5085.400000000001,5080.6,5084.400000000001,250,254163040.0,0.0,72330,5082.6,0
1718935140000,5083.2,5083.8,5080.8,5083.2,247,251087360.00000003,0.0,72324,5084.400000000001,0
1718935200000,5083.6,5083.6,5081.200000000001,5082.000000000001,166,168740040.00000003,0.0,72319,5083.200000000001,0
1718935260000,5082.0,5085.400000000001,5080.8,5084.400000000001,289,293785440.00000006,0.0,72270,5082.0,0
1718935320000,5084.200000000001,5085.000000000001,5080.400000000001,5083.8,181,183987640.00000003,0.0,72291,5084.400000000001,0
1718935380000,5085.0,5085.0,5079.0,5080.8,230,233737560.0,0.0,72304,5083.8,0
1718935440000,5081.400000000001,5082.8,5080.400000000001,5082.400000000001,120,121958880.0,0.0,72318,5080.8,0
1718935500000,5083.0,5095.0,5083.0,5094.4,355,361326680.0,0.0,72259,5082.4,0
1718935560000,5094.400000000001,5097.400000000001,5090.6,5091.200000000001,375,382055160.0,0.0,72191,5094.400000000001,0
1718935620000,5091.200000000001,5092.200000000001,5085.6,5088.6,393,399994040.00000006,0.0,72212,5091.200000000001,0
1718935680000,5089.8,5089.8,5084.8,5085.2,204,207547160.00000003,0.0,72192,5088.6,0
1718935740000,5084.8,5085.0,5082.0,5084.0,187,190138879.99999997,0.0,72212,5085.2,0
1718935800000,5084.6,5084.6,5080.0,5081.6,216,219518000.0,0.0,72231,5084.0,0
1718935860000,5081.6,5081.6,5077.8,5078.0,186,188947520.0,0.0,72252,5081.6,0
1718935920000,5077.8,5081.0,5075.8,5078.6,289,293530160.0,0.0,72230,5078.0,0
1718935980000,5079.0,5079.0,5076.6,5078.200000000001,127,128975640.0,0.0,72236,5078.6,0
1718936040000,5078.200000000001,5078.200000000001,5075.200000000001,5075.800000000001,129,130969280.0,0.0,72242,5078.200000000001,0
1718936100000,5075.400000000001,5075.6,5072.6,5074.0,200,202960720.0,0.0,72246,5075.8,0
1718936160000,5074.4,5075.0,5070.0,5072.6,287,291141200.00000006,0.0,72347,5074.0,0
