time,open,high,low,close,volume,amount,settelementPrice,openInterest,preClose,suspendFlag
1734658200000,5873.0,5873.0,5873.0,5873.0,33,38761800.0,0.0,69205,5884.0,0
1734658260000,5873.2,5882.4,5870.0,5880.2,834,979964760.0000001,0.0,68989,5873.0,0
1734658320000,5880.200000000001,5885.200000000001,5875.400000000001,5879.000000000001,448,526924320.00000006,0.0,68940,5880.200000000001,0
1734658380000,5880.000000000001,5886.400000000001,5878.400000000001,5884.6,454,534196040.00000006,0.0,68913,5879.000000000001,0
1734658440000,5885.6,5889.8,5881.0,5887.4,384,452073120.00000006,0.0,68880,5884.6,0
1734658500000,5888.0,5888.8,5881.8,5886.6,371,436726480.00000006,0.0,68782,5887.400000000001,0
1734658560000,5887.400000000001,5891.000000000001,5884.200000000001,5887.000000000001,448,527530920.00000006,0.0,68685,5886.6,0
1734658620000,5886.6,5888.000000000001,5880.200000000001,5881.000000000001,232,273019920.00000006,0.0,68645,5887.000000000001,0
1734658680000,5880.8,5884.0,5876.0,5878.2,339,398619839.0,0.0,68580,5881.0,0
1734658740000,5878.2,5885.4,5877.0,5884.2,229,269337880.0,0.0,68513,5878.2,0
1734658800000,5883.800000000001,5886.800000000001,5881.200000000001,5886.400000000001,260,305956920.0,0.0,68455,5884.200000000001,0
1734658860000,5886.0,5890.0,5883.0,5886.6,282,332012640.0,0.0,68450,5886.4,0
1734658920000,5888.400000000001,5889.8,5884.400000000001,5885.000000000001,189,222546880.00000003,0.0,68448,5886.6,0
1734658980000,5886.800000000001,5889.800000000001,5880.200000000001,5881.400000000001,204,240087760.00000003,0.0,68397,5885.000000000001,0
1734659040000,5880.4,5880.8,5876.0,5878.0,234,275097360.00000006,0.0,68376,5881.4,0
1734659100000,5879.6,5884.400000000001,5878.8,5881.8,207,243493720.00000003,0.0,68302,5878.0,0
1734659160000,5881.400000000001,5883.0,5875.6,5881.400000000001,270,317453200.0,0.0,68210,5881.8,0
1734659220000,5880.6,5882.8,5875.6,5876.0,339,398543960.0,0.0,68186,5881.400000000001,0
1734659280000,5876.400000000001,5882.8,5876.400000000001,5882.200000000001,170,199926520.0,0.0,68144,5876.000000000001,0
1734659340000,5881.2,5889.8,5881.0,5889.6,228,268429240.0,0.0,68091,5882.2,0
1734659400000,5890.2,5905.8,5889.8,5896.400000000001,491,579152440.0,0.0,67969,5889.6,0
1734659460000,5896.0,5903.2,5894.0,5897.2,336,396428360.00000006,0.0,67925,5896.4,0
1734659520000,5898.400000000001,5901.200000000001,5895.200000000001,5899.200000000001,231,272500400.00000006,0.0,67932,5897.200000000001,0
1734659580000,5899.200000000001,5906.400000000001,5898.200000000001,5906.400000000001,227,267911200.00000006,0.0,67912,5899.200000000001,0
1734659640000,5906.6,5907.000000000001,5902.200000000001,5904.6,312,368435120.0,0.0,67921,5906.400000000001,0
1734659700000,5905.2,5909.0,5904.0,5908.4,312,368584360.00000006,0.0,67912,5904.6,0
1734659760000,5908.000000000001,5908.000000000001,5902.200000000001,5902.200000000001,198,233821080.0,0.0,67901,5908.400000000001,0
1734659820000,5902.200000000001,5902.200000000001,5895.200000000001,5898.400000000001,477,562646840.0,0.0,67743,5902.200000000001,0
1734659880000,5898.400000000001,5906.400000000001,5896.200000000001,5905.200000000001,215,253783120.0,0.0,67724,5898.400000000001,0
1734659940000,5904.6,5906.800000000001,5901.200000000001,5901.800000000001,283,334170200.0,0.0,67692,5905.200000000001,0
1734660000000,5901.6,5902.6,5899.6,5901.400000000001,162,191199039.0,0.0,67683,5901.8,0
1734660060000,5901.8,5903.400000000001,5898.400000000001,5902.000000000001,347,409525040.0,0.0,67655,5901.400000000001,0
1734660120000,5902.2,5903.2,5899.0,5901.2,187,220702319.99999997,0.0,67666,5902.0,0
1734660180000,5902.400000000001,5910.0,5898.8,5902.8,363,428743600.00000006,0.0,67622,5901.2,0
1734660240000,5903.4,5912.6,5901.0,5911.0,231,272919920.0,0.0,67607,5902.8,0
1734660300000,5911.8,5918.0,5911.8,5913.8,288,340693240.0,0.0,67563,5911.0,0
1734660360000,5916.0,5921.8,5915.6,5917.8,334,395315360.0,0.0,67485,5913.8,0
1734660420000,5918.8,5920.0,5912.6,5913.6,270,319485600.0,0.0,67442,5917.8,0
1734660480000,5915.200000000001,5915.200000000001,5910.200000000001,5914.000000000001,183,216395480.0,0.0,67456,5913.6,0
1734660540000,5914.8,5914.8,5907.400000000001,5911.400000000001,247,291931280.00000006,0.0,67456,5914.000000000001,0
1734660600000,5911.6,5911.6,5902.400000000001,5904.000000000001,228,269351600.0,0.0,67449,5911.400000000001,0
1734660660000,5904.0,5908.8,5902.0,5908.2,373,440444200.00000006,0.0,67362,5904.0,0
1734660720000,5908.8,5908.8,5902.8,5903.2,196,231488720.0,0.0,67405,5908.2,0
1734660780000,5903.2,5903.2,5898.8,5901.0,286,337528520.0,0.0,67441,5903.2,0
1734660840000,5900.0,5902.2,5899.0,5901.4,210,247806120.0,0.0,67461,5901.0,0
1734660900000,5902.6,5906.8,5902.400000000001,5904.8,165,194852360.0,0.0,67480,5901.400000000001,0
1734660960000,5904.400000000001,5907.0,5899.8,5904.2,204,240857240.00000003,0.0,67492,5904.8,0
1734661020000,5904.400000000001,5907.0,5902.8,5906.2,153,180694400.0,0.0,67490,5904.2,0
1734661080000,5906.6,5906.6,5901.400000000001,5902.000000000001,105,123977680.0,0.0,67509,5906.200000000001,0
1734661140000,5901.400000000001,5901.800000000001,5898.200000000001,5900.000000000001,138,162838440.0,0.0,67515,5902.000000000001,0
1734661200000,5899.400000000001,5900.8,5897.400000000001,5900.200000000001,205,241864560.0,0.0,67480,5900.000000000001,0
1734661260000,5900.0,5901.0,5898.0,5900.4,170,200587640.0,0.0,67451,5900.2,0
1734661320000,5899.6,5899.6,5894.6,5898.0,235,277146640.0,0.0,67469,5900.400000000001,0
1734661380000,5898.000000000001,5902.200000000001,5897.200000000001,5901.200000000001,116,136881400.00000003,0.0,67487,5898.000000000001,0
1734661440000,5901.200000000001,5905.000000000001,5901.200000000001,5903.800000000001,112,132234439.00000001,0.0,67510,5901.200000000001,0
1734661500000,5903.8,5905.6,5900.0,5901.4,151,178260520.00000003,0.0,67495,5903.8,0
1734661560000,5902.200000000001,5903.8,5900.6,5901.200000000001,141,166436800.0,0.0,67531,5901.400000000001,0
1734661620000,5901.200000000001,5902.6,5898.200000000001,5898.200000000001,171,201803880.00000003,0.0,67601,5901.200000000001,0
1734661680000,5898.200000000001,5898.6,5895.200000000001,5895.6,243,286587600.00000006,0.0,67548,5898.200000000001,0
1734661740000,5896.2,5897.2,5893.8,5896.0,198,233441960.0,0.0,67590,5895.6,0
1734661800000,5896.0,5899.8,5896.0,5899.8,120,141540360.0,0.0,67594,5896.0,0
1734661860000,5899.6,5900.0,5895.8,5899.8,177,208787200.0,0.0,67611,5899.8,0
1734661920000,5899.8,5901.0,5897.6,5900.0,134,158096240.0,0.0,67623,5899.8,0
1734661980000,5899.6,5902.0,5897.0,5897.2,142,167543760.00000003,0.0,67622,5900.0,0
1734662040000,5897.000000000001,5897.800000000001,5894.200000000001,5897.6,143,168617440.0,0.0,67624,5897.200000000001,0
1734662100000,5897.6,5897.6,5895.400000000001,5895.8,87,102593040.00000001,0.0,67639,5897.6,0
1734662160000,5895.8,5898.6,5894.400000000001,5898.400000000001,124,146235680.0,0.0,67685,5895.8,0
1734662220000,5898.4,5901.2,5897.0,5901.2,128,151015800.0,0.0,67710,5898.4,0
1734662280000,5901.200000000001,5901.400000000001,5895.200000000001,5895.200000000001,127,149824480.0,0.0,67752,5901.200000000001,0
1734662340000,5896.000000000001,5901.000000000001,5894.400000000001,5898.8,179,211119000.00000003,0.0,67795,5895.200000000001,0
1734662400000,5898.4,5899.0,5895.0,5896.4,109,128547040.0,0.0,67829,5898.8,0
1734662460000,5897.0,5902.2,5897.0,5900.4,114,134513120.0,0.0,67853,5896.4,0
1734662520000,5900.4,5903.2,5900.0,5901.8,106,125115600.00000001,0.0,67893,5900.4,0
1734662580000,5902.400000000001,5906.6,5902.400000000001,5903.000000000001,170,200758880.0,0.0,67906,5901.8,0
1734662640000,5902.8,5907.400000000001,5902.6,5907.400000000001,102,120462040.00000001,0.0,67931,5903.0,0
1734662700000,5907.4,5907.6,5901.0,5903.2,110,129871120.0,0.0,67943,5907.4,0
1734662760000,5902.0,5907.0,5902.0,5906.8,108,127546760.00000001,0.0,67956,5903.2,0
1734662820000,5906.800000000001,5908.800000000001,5904.200000000001,5905.200000000001,129,152383280.00000003,0.0,67996,5906.800000000001,0
1734662880000,5904.6,5904.6,5899.200000000001,5899.400000000001,162,191208040.0,0.0,68077,5905.200000000001,0
1734662940000,5899.6,5900.200000000001,5892.400000000001,5900.200000000001,267,314849560.0,0.0,68124,5899.400000000001,0
1734663000000,5900.200000000001,5902.800000000001,5899.200000000001,5901.200000000001,255,300940840.0,0.0,68114,5900.200000000001,0
1734663060000,5902.8,5912.0,5902.6,5911.0,343,405367040.0,0.0,68211,5901.200000000001,0
1734663120000,5910.400000000001,5917.400000000001,5909.400000000001,5912.6,254,300404320.0,0.0,68209,5911.000000000001,0
1734663180000,5912.8,5917.200000000001,5912.400000000001,5915.6,253,299305240.0,0.0,68255,5912.6,0
1734663240000,5915.6,5915.6,5910.400000000001,5912.400000000001,199,235349440.00000003,0.0,68263,5915.6,0
1734663300000,5912.6,5913.0,5911.0,5912.0,158,186816800.0,0.0,68308,5912.4,0
1734663360000,5911.400000000001,5911.400000000001,5908.400000000001,5910.400000000001,191,225742760.00000003,0.0,68297,5912.000000000001,0
1734663420000,5910.400000000001,5915.8,5910.400000000001,5915.400000000001,138,163216760.0,0.0,68290,5910.400000000001,0
1734663480000,5915.000000000001,5916.800000000001,5912.200000000001,5916.000000000001,170,201094920.0,0.0,68273,5915.400000000001,0
1734663540000,5916.8,5920.6,5915.400000000001,5917.8,266,314826640.0,0.0,68273,5916.000000000001,0
1734663600000,5917.400000000001,5921.0,5916.8,5920.6,159,188230400.0,0.0,68290,5917.8,0
1734663660000,5920.8,5924.0,5919.8,5921.2,303,358868200.0,0.0,68319,5920.6,0
1734663720000,5921.200000000001,5926.6,5920.6,5925.6,235,278432880.0,0.0,68345,5921.200000000001,0
1734663780000,5925.200000000001,5927.000000000001,5922.400000000001,5923.400000000001,230,272529560.0,0.0,68395,5925.6,0
1734663840000,5923.0,5924.2,5917.8,5920.0,210,248666040.0,0.0,68436,5923.400000000001,0
1734663900000,5918.400000000001,5922.6,5917.8,5919.8,135,159851400.0,0.0,68464,5920.0,0
1734663960000,5919.8,5920.6,5918.6,5920.200000000001,99,117203240.0,0.0,68477,5919.8,0
1734664020000,5920.0,5924.200000000001,5919.6,5920.200000000001,126,149233640.00000003,0.0,68512,5920.200000000001,0
1734664080000,5919.6,5920.000000000001,5915.400000000001,5916.200000000001,189,223659360.00000003,0.0,68560,5920.200000000001,0
1734664140000,5916.0,5924.8,5916.0,5924.4,154,182391320.0,0.0,68592,5916.2,0
1734664200000,5924.6,5925.800000000001,5921.200000000001,5924.6,159,188356440.0,0.0,68592,5924.400000000001,0
1734664260000,5924.400000000001,5925.400000000001,5923.6,5924.200000000001,137,162329760.00000003,0.0,68600,5924.6,0
