contract,type,target,corr
l2601.DF,bottom,RI507.ZF,0.0
l2601.DF,bottom,JR507.ZF,0.0
l2601.DF,bottom,LR507.ZF,0.0
l2601.DF,bottom,WH507.ZF,0.0
l2601.DF,bottom,au2508.SF,-0.06
l2601.DF,bottom,jd2508.DF,-0.06
l2601.DF,bottom,fb2510.DF,-0.15
lg2507.DF,top,i2601.DF,0.47
lg2507.DF,top,j2601.DF,0.38
lg2507.DF,top,hc2510.SF,0.34
lg2507.DF,top,rb2510.SF,0.34
lg2507.DF,top,l2601.DF,0.34
lg2507.DF,top,v2601.DF,0.33
lg2507.DF,top,jm2509.DF,0.32
lg2507.DF,top,FG509.ZF,0.31
lg2507.DF,top,eb2507.DF,0.31
lg2507.DF,top,fu2509.SF,0.29
lg2507.DF,bottom,JR507.ZF,0.0
lg2507.DF,bottom,LR507.ZF,0.0
lg2507.DF,bottom,WH507.ZF,0.0
lg2507.DF,bottom,RI507.ZF,0.0
lg2507.DF,bottom,au2508.SF,-0.01
lg2507.DF,bottom,m2601.DF,-0.03
lg2507.DF,bottom,rr2508.DF,-0.04
lg2507.DF,bottom,RM509.ZF,-0.05
lg2507.DF,bottom,bb2511.DF,-0.06
lg2507.DF,bottom,fb2510.DF,-0.21
lh2509.DF,top,m2601.DF,0.26
lh2509.DF,top,b2507.DF,0.25
lh2509.DF,top,jd2508.DF,0.21
lh2509.DF,top,RM509.ZF,0.16
lh2509.DF,top,v2601.DF,0.15
lh2509.DF,top,a2507.DF,0.15
lh2509.DF,top,sp2507.SF,0.13
lh2509.DF,top,y2601.DF,0.12
lh2509.DF,top,CJ509.ZF,0.11
lh2509.DF,top,OI509.ZF,0.1
lh2509.DF,bottom,ss2508.SF,-0.02
lh2509.DF,bottom,UR509.ZF,-0.04
lh2509.DF,bottom,wr2510.SF,-0.04
lh2509.DF,bottom,i2601.DF,-0.04
lh2509.DF,bottom,CY509.ZF,-0.04
lh2509.DF,bottom,br2507.SF,-0.05
lh2509.DF,bottom,ru2509.SF,-0.05
lh2509.DF,bottom,SM509.ZF,-0.06
lh2509.DF,bottom,PF507.ZF,-0.07
lh2509.DF,bottom,ps2507.GF,-0.07
m2601.DF,top,b2507.DF,0.87
m2601.DF,top,RM509.ZF,0.69
m2601.DF,top,a2507.DF,0.51
m2601.DF,top,OI509.ZF,0.37
m2601.DF,top,lh2509.DF,0.26
m2601.DF,top,y2601.DF,0.25
m2601.DF,top,RS507.ZF,0.23
m2601.DF,top,c2509.DF,0.21
m2601.DF,top,cs2507.DF,0.2
m2601.DF,top,ag2508.SF,0.17
m2601.DF,bottom,ss2508.SF,-0.1
m2601.DF,bottom,sc2507.INE,-0.11
m2601.DF,bottom,ru2509.SF,-0.14
m2601.DF,bottom,hc2510.SF,-0.14
m2601.DF,bottom,TA509.ZF,-0.16
m2601.DF,bottom,PX509.ZF,-0.16
m2601.DF,bottom,SH509.ZF,-0.19
m2601.DF,bottom,PF507.ZF,-0.2
m2601.DF,bottom,i2601.DF,-0.23
m2601.DF,bottom,UR509.ZF,-0.3
p2601.DF,top,y2601.DF,0.81
p2601.DF,top,fu2509.SF,0.62
p2601.DF,top,OI509.ZF,0.59
p2601.DF,top,bu2509.SF,0.59
p2601.DF,top,l2601.DF,0.55
p2601.DF,top,sc2507.INE,0.52
p2601.DF,top,PR509.ZF,0.51
p2601.DF,top,PX509.ZF,0.5
p2601.DF,top,CF509.ZF,0.49
p2601.DF,top,al2507.SF,0.49
p2601.DF,bottom,JR507.ZF,0.0
p2601.DF,bottom,wr2510.SF,0.0
p2601.DF,bottom,PM507.ZF,0.0
p2601.DF,bottom,RI507.ZF,0.0
p2601.DF,bottom,ZC507.ZF,0.0
p2601.DF,bottom,LR507.ZF,0.0
p2601.DF,bottom,WH507.ZF,0.0
p2601.DF,bottom,jd2508.DF,-0.01
p2601.DF,bottom,fb2510.DF,-0.04
p2601.DF,bottom,rr2508.DF,-0.07
pg2507.DF,top,sc2507.INE,0.64
pg2507.DF,top,fu2509.SF,0.61
pg2507.DF,top,l2601.DF,0.61
pg2507.DF,top,pp2509.DF,0.52
pg2507.DF,top,bu2509.SF,0.48
pg2507.DF,top,p2601.DF,0.46
pg2507.DF,top,PR509.ZF,0.44
pg2507.DF,top,TA509.ZF,0.43
pg2507.DF,top,MA509.ZF,0.41
pg2507.DF,top,PX509.ZF,0.41
pg2507.DF,bottom,fb2510.DF,-0.02
pg2507.DF,bottom,CJ509.ZF,-0.02
pg2507.DF,bottom,c2509.DF,-0.04
pg2507.DF,bottom,jd2508.DF,-0.05
pg2507.DF,bottom,RM509.ZF,-0.06
pg2507.DF,bottom,a2507.DF,-0.07
pg2507.DF,bottom,bb2511.DF,-0.08
pg2507.DF,bottom,SM509.ZF,-0.08
pg2507.DF,bottom,RS507.ZF,-0.1
pg2507.DF,bottom,SA509.ZF,-0.19
pp2509.DF,top,l2601.DF,0.89
pp2509.DF,top,MA509.ZF,0.81
pp2509.DF,top,v2601.DF,0.77
pp2509.DF,top,eg2509.DF,0.74
pp2509.DF,top,TA509.ZF,0.72
pp2509.DF,top,PR509.ZF,0.68
pp2509.DF,top,eb2507.DF,0.67
pp2509.DF,top,PX509.ZF,0.65
pp2509.DF,top,PF507.ZF,0.63
pp2509.DF,top,fu2509.SF,0.62
pp2509.DF,bottom,m2601.DF,0.01
pp2509.DF,bottom,PM507.ZF,0.0
pp2509.DF,bottom,ZC507.ZF,0.0
pp2509.DF,bottom,RI507.ZF,0.0
pp2509.DF,bottom,JR507.ZF,0.0
pp2509.DF,bottom,LR507.ZF,0.0
pp2509.DF,bottom,WH507.ZF,0.0
pp2509.DF,bottom,rr2508.DF,-0.04
pp2509.DF,bottom,au2508.SF,-0.07
pp2509.DF,bottom,fb2510.DF,-0.16
rr2508.DF,top,zn2507.SF,0.15
rr2508.DF,top,cu2507.SF,0.14
rr2508.DF,top,a2507.DF,0.14
rr2508.DF,top,pb2507.SF,0.12
rr2508.DF,top,ni2507.SF,0.11
rr2508.DF,top,OI509.ZF,0.1
rr2508.DF,top,ss2508.SF,0.1
rr2508.DF,top,SH509.ZF,0.09
rr2508.DF,top,cs2507.DF,0.09
rr2508.DF,top,au2508.SF,0.09
rr2508.DF,bottom,hc2510.SF,-0.01
rr2508.DF,bottom,fb2510.DF,-0.01
rr2508.DF,bottom,CY509.ZF,-0.02
rr2508.DF,bottom,v2601.DF,-0.03
rr2508.DF,bottom,CF509.ZF,-0.03
rr2508.DF,bottom,ps2507.GF,-0.03
rr2508.DF,bottom,lg2507.DF,-0.04
rr2508.DF,bottom,pp2509.DF,-0.04
rr2508.DF,bottom,p2601.DF,-0.07
rr2508.DF,bottom,bb2511.DF,-0.11
v2601.DF,top,pp2509.DF,0.77
v2601.DF,top,l2601.DF,0.7
v2601.DF,top,jm2509.DF,0.64
v2601.DF,top,MA509.ZF,0.64
v2601.DF,top,SA509.ZF,0.64
v2601.DF,top,FG509.ZF,0.63
v2601.DF,top,rb2510.SF,0.6
v2601.DF,top,hc2510.SF,0.59
v2601.DF,top,si2507.GF,0.56
v2601.DF,top,SF509.ZF,0.55
v2601.DF,bottom,ZC507.ZF,0.0
v2601.DF,bottom,a2507.DF,-0.0
v2601.DF,bottom,RI507.ZF,0.0
v2601.DF,bottom,PM507.ZF,0.0
v2601.DF,bottom,JR507.ZF,0.0
v2601.DF,bottom,LR507.ZF,0.0
v2601.DF,bottom,RM509.ZF,-0.02
v2601.DF,bottom,rr2508.DF,-0.03
v2601.DF,bottom,fb2510.DF,-0.09
v2601.DF,bottom,au2508.SF,-0.22
y2601.DF,top,p2601.DF,0.81
y2601.DF,top,OI509.ZF,0.7
y2601.DF,top,l2601.DF,0.51
y2601.DF,top,fu2509.SF,0.51
y2601.DF,top,b2507.DF,0.49
y2601.DF,top,PR509.ZF,0.48
y2601.DF,top,CF509.ZF,0.47
y2601.DF,top,PX509.ZF,0.46
y2601.DF,top,bu2509.SF,0.46
y2601.DF,top,MA509.ZF,0.46
y2601.DF,bottom,rr2508.DF,0.03
y2601.DF,bottom,wr2510.SF,0.02
y2601.DF,bottom,PM507.ZF,0.0
y2601.DF,bottom,RI507.ZF,0.0
y2601.DF,bottom,JR507.ZF,0.0
y2601.DF,bottom,LR507.ZF,0.0
y2601.DF,bottom,ZC507.ZF,0.0
y2601.DF,bottom,WH507.ZF,0.0
y2601.DF,bottom,fb2510.DF,-0.01
y2601.DF,bottom,jd2508.DF,-0.05
AP510.ZF,top,zn2507.SF,0.3
AP510.ZF,top,y2601.DF,0.24
AP510.ZF,top,OI509.ZF,0.24
AP510.ZF,top,ni2507.SF,0.22
AP510.ZF,top,cs2507.DF,0.22
AP510.ZF,top,PK510.ZF,0.22
AP510.ZF,top,CJ509.ZF,0.21
AP510.ZF,top,a2507.DF,0.21
AP510.ZF,top,rb2510.SF,0.2
AP510.ZF,top,SA509.ZF,0.2
AP510.ZF,bottom,JR507.ZF,0.0
AP510.ZF,bottom,LR507.ZF,0.0
AP510.ZF,bottom,SM509.ZF,-0.0
AP510.ZF,bottom,RI507.ZF,0.0
AP510.ZF,bottom,ZC507.ZF,0.0
AP510.ZF,bottom,WH507.ZF,0.0
AP510.ZF,bottom,wr2510.SF,-0.01
AP510.ZF,bottom,m2601.DF,-0.07
AP510.ZF,bottom,bb2511.DF,-0.14
AP510.ZF,bottom,fb2510.DF,-0.15
CF509.ZF,top,l2601.DF,0.72
CF509.ZF,top,CY509.ZF,0.61
CF509.ZF,top,cu2507.SF,0.54
CF509.ZF,top,al2507.SF,0.54
CF509.ZF,top,pp2509.DF,0.53
CF509.ZF,top,TA509.ZF,0.53
CF509.ZF,top,v2601.DF,0.52
CF509.ZF,top,eg2509.DF,0.52
CF509.ZF,top,MA509.ZF,0.51
CF509.ZF,top,eb2507.DF,0.5
CF509.ZF,bottom,JR507.ZF,0.0
CF509.ZF,bottom,PM507.ZF,0.0
CF509.ZF,bottom,WH507.ZF,0.0
CF509.ZF,bottom,RI507.ZF,0.0
CF509.ZF,bottom,LR507.ZF,0.0
CF509.ZF,bottom,m2601.DF,-0.01
CF509.ZF,bottom,rr2508.DF,-0.03
CF509.ZF,bottom,au2508.SF,-0.05
CF509.ZF,bottom,jd2508.DF,-0.08
CF509.ZF,bottom,fb2510.DF,-0.22
CJ509.ZF,top,v2601.DF,0.52
CJ509.ZF,top,FG509.ZF,0.45
CJ509.ZF,top,jm2509.DF,0.44
CJ509.ZF,top,SA509.ZF,0.44
CJ509.ZF,top,SM509.ZF,0.38
CJ509.ZF,top,j2601.DF,0.38
CJ509.ZF,top,ru2509.SF,0.37
CJ509.ZF,top,CF509.ZF,0.36
CJ509.ZF,top,l2601.DF,0.35
CJ509.ZF,top,rb2510.SF,0.34
CJ509.ZF,bottom,JR507.ZF,0.0
CJ509.ZF,bottom,LR507.ZF,0.0
CJ509.ZF,bottom,WH507.ZF,0.0
CJ509.ZF,bottom,m2601.DF,-0.01
CJ509.ZF,bottom,wr2510.SF,-0.02
CJ509.ZF,bottom,pg2507.DF,-0.02
CJ509.ZF,bottom,sc2507.INE,-0.04
CJ509.ZF,bottom,fb2510.DF,-0.1
CJ509.ZF,bottom,bb2511.DF,-0.12
CJ509.ZF,bottom,au2508.SF,-0.13
CY509.ZF,top,l2601.DF,0.69
CY509.ZF,top,CF509.ZF,0.61
CY509.ZF,top,eb2507.DF,0.55
CY509.ZF,top,PX509.ZF,0.52
CY509.ZF,top,PR509.ZF,0.51
CY509.ZF,top,eg2509.DF,0.5
CY509.ZF,top,PF507.ZF,0.5
CY509.ZF,top,i2601.DF,0.48
CY509.ZF,top,TA509.ZF,0.47
CY509.ZF,top,v2601.DF,0.47
CY509.ZF,bottom,LR507.ZF,0.0
CY509.ZF,bottom,rr2508.DF,-0.02
CY509.ZF,bottom,RM509.ZF,-0.03
CY509.ZF,bottom,au2508.SF,-0.04
CY509.ZF,bottom,lh2509.DF,-0.04
CY509.ZF,bottom,a2507.DF,-0.05
CY509.ZF,bottom,m2601.DF,-0.06
CY509.ZF,bottom,wr2510.SF,-0.06
CY509.ZF,bottom,jd2508.DF,-0.16
CY509.ZF,bottom,fb2510.DF,-0.18
FG509.ZF,top,SA509.ZF,0.8
FG509.ZF,top,jm2509.DF,0.66
FG509.ZF,top,rb2510.SF,0.64
FG509.ZF,top,v2601.DF,0.63
FG509.ZF,top,hc2510.SF,0.62
FG509.ZF,top,j2601.DF,0.54
FG509.ZF,top,i2601.DF,0.53
FG509.ZF,top,SM509.ZF,0.49
FG509.ZF,top,SF509.ZF,0.47
FG509.ZF,top,CJ509.ZF,0.45
FG509.ZF,bottom,LR507.ZF,0.0
FG509.ZF,bottom,JR507.ZF,0.0
FG509.ZF,bottom,RI507.ZF,0.0
FG509.ZF,bottom,WH507.ZF,0.0
FG509.ZF,bottom,sc2507.INE,-0.03
FG509.ZF,bottom,RS507.ZF,-0.03
FG509.ZF,bottom,wr2510.SF,-0.08
FG509.ZF,bottom,au2508.SF,-0.09
FG509.ZF,bottom,bb2511.DF,-0.13
FG509.ZF,bottom,fb2510.DF,-0.16
JR507.ZF,top,ag2508.SF,0.0
JR507.ZF,top,al2507.SF,0.0
JR507.ZF,top,ao2509.SF,0.0
JR507.ZF,top,au2508.SF,0.0
JR507.ZF,top,br2507.SF,0.0
JR507.ZF,top,bu2509.SF,0.0
JR507.ZF,top,cu2507.SF,0.0
JR507.ZF,top,fu2509.SF,0.0
JR507.ZF,top,hc2510.SF,0.0
JR507.ZF,top,ni2507.SF,0.0
JR507.ZF,bottom,SM509.ZF,0.0
JR507.ZF,bottom,SR509.ZF,0.0
JR507.ZF,bottom,TA509.ZF,0.0
JR507.ZF,bottom,UR509.ZF,0.0
JR507.ZF,bottom,WH507.ZF,0.0
JR507.ZF,bottom,ZC507.ZF,0.0
JR507.ZF,bottom,lc2507.GF,0.0
JR507.ZF,bottom,ps2507.GF,0.0
JR507.ZF,bottom,si2507.GF,0.0
JR507.ZF,bottom,sc2507.INE,0.0
LR507.ZF,top,ag2508.SF,0.0
LR507.ZF,top,al2507.SF,0.0
LR507.ZF,top,ao2509.SF,0.0
LR507.ZF,top,au2508.SF,0.0
LR507.ZF,top,br2507.SF,0.0
LR507.ZF,top,bu2509.SF,0.0
LR507.ZF,top,cu2507.SF,0.0
LR507.ZF,top,fu2509.SF,0.0
LR507.ZF,top,hc2510.SF,0.0
LR507.ZF,top,ni2507.SF,0.0
LR507.ZF,bottom,SM509.ZF,0.0
LR507.ZF,bottom,SR509.ZF,0.0
LR507.ZF,bottom,TA509.ZF,0.0
LR507.ZF,bottom,UR509.ZF,0.0
LR507.ZF,bottom,WH507.ZF,0.0
LR507.ZF,bottom,ZC507.ZF,0.0
LR507.ZF,bottom,lc2507.GF,0.0
LR507.ZF,bottom,ps2507.GF,0.0
LR507.ZF,bottom,si2507.GF,0.0
LR507.ZF,bottom,sc2507.INE,0.0
MA509.ZF,top,l2601.DF,0.83
MA509.ZF,top,pp2509.DF,0.81
MA509.ZF,top,eg2509.DF,0.72
MA509.ZF,top,v2601.DF,0.64
MA509.ZF,top,PR509.ZF,0.64
MA509.ZF,top,TA509.ZF,0.63
MA509.ZF,top,eb2507.DF,0.62
MA509.ZF,top,PX509.ZF,0.59
MA509.ZF,top,PF507.ZF,0.58
MA509.ZF,top,bu2509.SF,0.55
MA509.ZF,bottom,rr2508.DF,0.01
MA509.ZF,bottom,au2508.SF,-0.0
MA509.ZF,bottom,PM507.ZF,0.0
MA509.ZF,bottom,RI507.ZF,0.0
MA509.ZF,bottom,LR507.ZF,0.0
MA509.ZF,bottom,JR507.ZF,0.0
MA509.ZF,bottom,ZC507.ZF,0.0
MA509.ZF,bottom,WH507.ZF,0.0
MA509.ZF,bottom,wr2510.SF,-0.01
MA509.ZF,bottom,fb2510.DF,-0.13
OI509.ZF,top,y2601.DF,0.7
OI509.ZF,top,p2601.DF,0.59
OI509.ZF,top,b2507.DF,0.53
OI509.ZF,top,RM509.ZF,0.4
OI509.ZF,top,RS507.ZF,0.38
OI509.ZF,top,m2601.DF,0.37
OI509.ZF,top,l2601.DF,0.35
OI509.ZF,top,PK510.ZF,0.32
OI509.ZF,top,CF509.ZF,0.29
OI509.ZF,top,a2507.DF,0.27
OI509.ZF,bottom,SA509.ZF,0.03
OI509.ZF,bottom,fb2510.DF,0.03
OI509.ZF,bottom,PM507.ZF,0.0
OI509.ZF,bottom,JR507.ZF,0.0
OI509.ZF,bottom,LR507.ZF,0.0
OI509.ZF,bottom,FG509.ZF,-0.0
OI509.ZF,bottom,ZC507.ZF,0.0
OI509.ZF,bottom,RI507.ZF,0.0
OI509.ZF,bottom,WH507.ZF,0.0
OI509.ZF,bottom,j2601.DF,-0.03
PF507.ZF,top,PR509.ZF,0.81
PF507.ZF,top,PX509.ZF,0.81
PF507.ZF,top,TA509.ZF,0.78
PF507.ZF,top,eg2509.DF,0.76
PF507.ZF,top,l2601.DF,0.73
PF507.ZF,top,pp2509.DF,0.63
PF507.ZF,top,eb2507.DF,0.62
PF507.ZF,top,i2601.DF,0.59
PF507.ZF,top,MA509.ZF,0.58
PF507.ZF,top,bu2509.SF,0.52
PF507.ZF,bottom,LR507.ZF,0.0
PF507.ZF,bottom,rr2508.DF,-0.0
PF507.ZF,bottom,RI507.ZF,0.0
PF507.ZF,bottom,jd2508.DF,-0.01
PF507.ZF,bottom,RM509.ZF,-0.01
PF507.ZF,bottom,au2508.SF,-0.06
PF507.ZF,bottom,lh2509.DF,-0.07
PF507.ZF,bottom,wr2510.SF,-0.11
PF507.ZF,bottom,fb2510.DF,-0.16
PF507.ZF,bottom,m2601.DF,-0.2
PK510.ZF,top,p2601.DF,0.47
PK510.ZF,top,CF509.ZF,0.4
PK510.ZF,top,y2601.DF,0.36
PK510.ZF,top,l2601.DF,0.32
PK510.ZF,top,OI509.ZF,0.32
PK510.ZF,top,a2507.DF,0.3
PK510.ZF,top,sp2507.SF,0.29
PK510.ZF,top,PR509.ZF,0.28
PK510.ZF,top,TA509.ZF,0.28
PK510.ZF,top,fu2509.SF,0.28
PK510.ZF,bottom,jd2508.DF,0.01
PK510.ZF,bottom,PM507.ZF,0.0
PK510.ZF,bottom,ZC507.ZF,0.0
PK510.ZF,bottom,RI507.ZF,0.0
PK510.ZF,bottom,LR507.ZF,0.0
PK510.ZF,bottom,JR507.ZF,0.0
PK510.ZF,bottom,WH507.ZF,0.0
PK510.ZF,bottom,au2508.SF,-0.05
PK510.ZF,bottom,fb2510.DF,-0.06
PK510.ZF,bottom,bb2511.DF,-0.11
PM507.ZF,top,ag2508.SF,0.0
PM507.ZF,top,al2507.SF,0.0
PM507.ZF,top,ao2509.SF,0.0
PM507.ZF,top,au2508.SF,0.0
PM507.ZF,top,br2507.SF,0.0
PM507.ZF,top,bu2509.SF,0.0
PM507.ZF,top,cu2507.SF,0.0
PM507.ZF,top,fu2509.SF,0.0
PM507.ZF,top,hc2510.SF,0.0
PM507.ZF,top,ni2507.SF,0.0
PM507.ZF,bottom,SM509.ZF,0.0
PM507.ZF,bottom,SR509.ZF,0.0
PM507.ZF,bottom,TA509.ZF,0.0
PM507.ZF,bottom,UR509.ZF,0.0
PM507.ZF,bottom,WH507.ZF,0.0
PM507.ZF,bottom,ZC507.ZF,0.0
PM507.ZF,bottom,lc2507.GF,0.0
PM507.ZF,bottom,ps2507.GF,0.0
PM507.ZF,bottom,si2507.GF,0.0
PM507.ZF,bottom,sc2507.INE,0.0
PR509.ZF,top,PX509.ZF,0.84
PR509.ZF,top,TA509.ZF,0.82
PR509.ZF,top,l2601.DF,0.81
PR509.ZF,top,PF507.ZF,0.81
PR509.ZF,top,eg2509.DF,0.78
PR509.ZF,top,eb2507.DF,0.73
PR509.ZF,top,pp2509.DF,0.68
PR509.ZF,top,MA509.ZF,0.64
PR509.ZF,top,bu2509.SF,0.62
PR509.ZF,top,fu2509.SF,0.62
PR509.ZF,bottom,LR507.ZF,0.0
PR509.ZF,bottom,lh2509.DF,-0.0
PR509.ZF,bottom,PM507.ZF,0.0
PR509.ZF,bottom,RI507.ZF,0.0
PR509.ZF,bottom,ZC507.ZF,0.0
PR509.ZF,bottom,JR507.ZF,0.0
PR509.ZF,bottom,WH507.ZF,0.0
PR509.ZF,bottom,wr2510.SF,-0.07
PR509.ZF,bottom,m2601.DF,-0.08
PR509.ZF,bottom,fb2510.DF,-0.17
PX509.ZF,top,TA509.ZF,0.91
PX509.ZF,top,PR509.ZF,0.84
PX509.ZF,top,PF507.ZF,0.81
PX509.ZF,top,eg2509.DF,0.73
PX509.ZF,top,l2601.DF,0.72
PX509.ZF,top,eb2507.DF,0.69
PX509.ZF,top,pp2509.DF,0.65
PX509.ZF,top,fu2509.SF,0.63
PX509.ZF,top,bu2509.SF,0.62
PX509.ZF,top,sc2507.INE,0.59
PX509.ZF,bottom,LR507.ZF,0.0
PX509.ZF,bottom,JR507.ZF,0.0
PX509.ZF,bottom,RI507.ZF,0.0
PX509.ZF,bottom,au2508.SF,-0.01
PX509.ZF,bottom,lh2509.DF,-0.01
PX509.ZF,bottom,RM509.ZF,-0.02
PX509.ZF,bottom,a2507.DF,-0.04
PX509.ZF,bottom,wr2510.SF,-0.11
PX509.ZF,bottom,m2601.DF,-0.16
PX509.ZF,bottom,fb2510.DF,-0.16
RI507.ZF,top,ag2508.SF,0.0
RI507.ZF,top,al2507.SF,0.0
RI507.ZF,top,ao2509.SF,0.0
RI507.ZF,top,au2508.SF,0.0
RI507.ZF,top,br2507.SF,0.0
RI507.ZF,top,bu2509.SF,0.0
RI507.ZF,top,cu2507.SF,0.0
RI507.ZF,top,fu2509.SF,0.0
RI507.ZF,top,hc2510.SF,0.0
RI507.ZF,top,ni2507.SF,0.0
RI507.ZF,bottom,SM509.ZF,0.0
RI507.ZF,bottom,SR509.ZF,0.0
RI507.ZF,bottom,TA509.ZF,0.0
RI507.ZF,bottom,UR509.ZF,0.0
RI507.ZF,bottom,WH507.ZF,0.0
RI507.ZF,bottom,ZC507.ZF,0.0
RI507.ZF,bottom,lc2507.GF,0.0
RI507.ZF,bottom,ps2507.GF,0.0
RI507.ZF,bottom,si2507.GF,0.0
RI507.ZF,bottom,sc2507.INE,0.0
RM509.ZF,top,b2507.DF,0.72
RM509.ZF,top,m2601.DF,0.69
RM509.ZF,top,a2507.DF,0.48
RM509.ZF,top,OI509.ZF,0.4
RM509.ZF,top,c2509.DF,0.36
RM509.ZF,top,cs2507.DF,0.33
RM509.ZF,top,RS507.ZF,0.32
RM509.ZF,top,lc2507.GF,0.23
RM509.ZF,top,PK510.ZF,0.21
RM509.ZF,top,SA509.ZF,0.2
RM509.ZF,bottom,v2601.DF,-0.02
RM509.ZF,bottom,CY509.ZF,-0.03
RM509.ZF,bottom,j2601.DF,-0.04
RM509.ZF,bottom,sn2507.SF,-0.04
RM509.ZF,bottom,lg2507.DF,-0.05
RM509.ZF,bottom,UR509.ZF,-0.06
RM509.ZF,bottom,pg2507.DF,-0.06
RM509.ZF,bottom,sc2507.INE,-0.07
RM509.ZF,bottom,ao2509.SF,-0.08
RM509.ZF,bottom,i2601.DF,-0.13
RS507.ZF,top,OI509.ZF,0.38
RS507.ZF,top,RM509.ZF,0.32
RS507.ZF,top,y2601.DF,0.3
RS507.ZF,top,b2507.DF,0.28
RS507.ZF,top,m2601.DF,0.23
RS507.ZF,top,p2601.DF,0.22
RS507.ZF,top,PK510.ZF,0.18
RS507.ZF,top,AP510.ZF,0.18
RS507.ZF,top,l2601.DF,0.16
RS507.ZF,top,a2507.DF,0.16
RS507.ZF,bottom,JR507.ZF,0.0
RS507.ZF,bottom,br2507.SF,-0.01
RS507.ZF,bottom,rb2510.SF,-0.01
RS507.ZF,bottom,hc2510.SF,-0.01
RS507.ZF,bottom,jd2508.DF,-0.01
RS507.ZF,bottom,sn2507.SF,-0.02
RS507.ZF,bottom,FG509.ZF,-0.03
RS507.ZF,bottom,j2601.DF,-0.03
RS507.ZF,bottom,SF509.ZF,-0.03
RS507.ZF,bottom,pg2507.DF,-0.1
SA509.ZF,top,FG509.ZF,0.8
SA509.ZF,top,jm2509.DF,0.66
SA509.ZF,top,j2601.DF,0.66
SA509.ZF,top,v2601.DF,0.64
SA509.ZF,top,hc2510.SF,0.63
SA509.ZF,top,rb2510.SF,0.62
SA509.ZF,top,i2601.DF,0.53
SA509.ZF,top,SM509.ZF,0.53
SA509.ZF,top,ru2509.SF,0.52
SA509.ZF,top,lc2507.GF,0.49
SA509.ZF,bottom,LR507.ZF,0.0
SA509.ZF,bottom,JR507.ZF,0.0
SA509.ZF,bottom,WH507.ZF,0.0
SA509.ZF,bottom,sn2507.SF,-0.03
SA509.ZF,bottom,bb2511.DF,-0.05
SA509.ZF,bottom,fu2509.SF,-0.07
SA509.ZF,bottom,fb2510.DF,-0.07
SA509.ZF,bottom,sc2507.INE,-0.13
SA509.ZF,bottom,au2508.SF,-0.17
SA509.ZF,bottom,pg2507.DF,-0.19
SF509.ZF,top,SM509.ZF,0.7
SF509.ZF,top,jm2509.DF,0.59
SF509.ZF,top,v2601.DF,0.55
SF509.ZF,top,hc2510.SF,0.52
SF509.ZF,top,pp2509.DF,0.5
SF509.ZF,top,l2601.DF,0.5
SF509.ZF,top,rb2510.SF,0.5
SF509.ZF,top,j2601.DF,0.48
SF509.ZF,top,FG509.ZF,0.47
SF509.ZF,top,MA509.ZF,0.47
SF509.ZF,bottom,ZC507.ZF,0.0
SF509.ZF,bottom,ag2508.SF,0.0
SF509.ZF,bottom,WH507.ZF,0.0
SF509.ZF,bottom,PM507.ZF,0.0
SF509.ZF,bottom,LR507.ZF,0.0
SF509.ZF,bottom,JR507.ZF,0.0
SF509.ZF,bottom,RI507.ZF,0.0
SF509.ZF,bottom,RS507.ZF,-0.03
SF509.ZF,bottom,fb2510.DF,-0.08
SF509.ZF,bottom,au2508.SF,-0.18
SH509.ZF,top,i2601.DF,0.39
SH509.ZF,top,SA509.ZF,0.36
SH509.ZF,top,v2601.DF,0.35
SH509.ZF,top,jm2509.DF,0.35
SH509.ZF,top,PR509.ZF,0.34
SH509.ZF,top,ru2509.SF,0.34
SH509.ZF,top,TA509.ZF,0.34
SH509.ZF,top,eg2509.DF,0.34
SH509.ZF,top,sp2507.SF,0.33
SH509.ZF,top,SM509.ZF,0.33
SH509.ZF,bottom,PM507.ZF,0.0
SH509.ZF,bottom,LR507.ZF,0.0
SH509.ZF,bottom,WH507.ZF,0.0
SH509.ZF,bottom,RI507.ZF,0.0
SH509.ZF,bottom,ZC507.ZF,0.0
SH509.ZF,bottom,JR507.ZF,0.0
SH509.ZF,bottom,wr2510.SF,-0.01
SH509.ZF,bottom,au2508.SF,-0.12
SH509.ZF,bottom,m2601.DF,-0.19
SH509.ZF,bottom,fb2510.DF,-0.24
SM509.ZF,top,SF509.ZF,0.7
SM509.ZF,top,jm2509.DF,0.57
SM509.ZF,top,hc2510.SF,0.54
SM509.ZF,top,rb2510.SF,0.53
SM509.ZF,top,SA509.ZF,0.53
SM509.ZF,top,FG509.ZF,0.49
SM509.ZF,top,j2601.DF,0.43
SM509.ZF,top,ps2507.GF,0.41
SM509.ZF,top,lc2507.GF,0.41
SM509.ZF,top,i2601.DF,0.4
SM509.ZF,bottom,LR507.ZF,0.0
SM509.ZF,bottom,AP510.ZF,-0.0
SM509.ZF,bottom,ZC507.ZF,0.0
SM509.ZF,bottom,WH507.ZF,0.0
SM509.ZF,bottom,fb2510.DF,-0.02
SM509.ZF,bottom,lh2509.DF,-0.06
SM509.ZF,bottom,pg2507.DF,-0.08
SM509.ZF,bottom,m2601.DF,-0.08
SM509.ZF,bottom,sc2507.INE,-0.08
SM509.ZF,bottom,au2508.SF,-0.17
SR509.ZF,top,l2601.DF,0.47
SR509.ZF,top,i2601.DF,0.44
