order_id,code,open_price,open_time,position,lot,value,open_fee,close_price,close_time,profit,fee,net_profit,equity,holding_period
000001,IF,3391.4608200000002,2024-01-02 14:47:00,-1,1,1017438.246,23.401079658,3391.1390800000004,2024-01-02 14:49:00,96.52199999995901,257.38967617800006,-160.86767617804105,999839.132323822,0.03333333333333333
000002,IF,3390.8608799999997,2024-01-02 14:48:00,-1,1,1017258.264,23.396940072,3391.1390800000004,2024-01-02 14:49:00,-83.46000000019558,257.38553659200005,-340.84553659219563,999498.2867872298,0.016666666666666666
000003,IF,3390.26094,2024-01-02 14:52:00,-1,1,1017078.282,23.392800486,3385.3385,2024-01-03 09:30:00,1476.7320000000836,46.751636136,1429.9803638640838,1000928.2671510939,18.633333333333333
000004,IF,3390.6609,2024-01-02 14:53:00,-1,1,1017198.2699999999,23.39556021,3385.3385,2024-01-03 09:30:00,1596.7200000000048,46.75439586,1549.9656041400049,1002478.2327552339,18.616666666666667
000005,IF,3390.8608799999997,2024-01-02 14:54:00,-1,1,1017258.264,23.396940072,3385.3385,2024-01-03 09:30:00,1656.7139999999654,46.755775721999996,1609.9582242779654,1004088.1909795118,18.6
000006,IF,3389.661,2024-01-02 14:55:00,-1,1,1016898.3,23.3886609,3385.3385,2024-01-03 09:30:00,1296.7500000000655,46.74749655,1250.0025034500654,1005338.1934829619,18.583333333333332
000007,IF,3389.661,2024-01-02 14:56:00,-1,1,1016898.3,23.3886609,3385.3385,2024-01-03 09:30:00,1296.7500000000655,46.74749655,1250.0025034500654,1006588.1959864119,18.566666666666666
000008,IF,3389.86098,2024-01-02 14:57:00,-1,1,1016958.294,23.390040761999998,3385.3385,2024-01-03 09:30:00,1356.744000000026,46.748876412,1309.9951235880262,1007898.1911099999,18.55
000009,IF,3388.6611,2024-01-02 14:58:00,-1,1,1016598.33,23.38176159,3385.3385,2024-01-03 09:30:00,996.7799999999897,46.74059724,950.0394027599898,1008848.2305127599,18.533333333333335
000010,IF,3388.4611200000004,2024-01-02 14:59:00,-1,1,1016538.3360000001,23.380381728000003,3385.3385,2024-01-03 09:30:00,936.7860000001656,46.739217378000006,890.0467826221657,1009738.277295382,18.516666666666666
